alpha	total_observations	power	effect_size	difference	metric	column
0.05	1380	0.053801864652674225	0.0060528722579779376		cohens_f	smoking_frequency
0.1	1380	0.10582198424488165	0.0060528722579779376		cohens_f	smoking_frequency
0.01	1420	0.011214195620551926	0.0060528722579779376		cohens_f	smoking_frequency
0.05	1420	0.05391300108274977	0.0060528722579779376		cohens_f	smoking_frequency
0.1	1420	0.10599133608156375	0.0060528722579779376		cohens_f	smoking_frequency
0.01	1460	0.01124909572439925	0.0060528722579779376		cohens_f	smoking_frequency
0.05	1460	0.054024176535240054	0.0060528722579779376		cohens_f	smoking_frequency
0.1	1460	0.10616070528899846	0.0060528722579779376		cohens_f	smoking_frequency
0.01	1500	0.011284028074442953	0.0060528722579779376		cohens_f	smoking_frequency
0.05	1500	0.054135390983594434	0.0060528722579779376		cohens_f	smoking_frequency
0.1	1500	0.10633009183230202	0.0060528722579779376		cohens_f	smoking_frequency
0.01	20	0.01016784202630383	0.02170102400523686		cohens_f	appendix_removed
0.05	20	0.05059507664984142	0.02170102400523686		cohens_f	appendix_removed
0.1	20	0.10095019222183821	0.02170102400523686		cohens_f	appendix_removed
0.01	60	0.010606200762623974	0.02170102400523686		cohens_f	appendix_removed
0.05	60	0.05201560985810594	0.02170102400523686		cohens_f	appendix_removed
0.1	60	0.10312841741021073	0.02170102400523686		cohens_f	appendix_removed
0.01	100	0.011049602630421318	0.02170102400523686		cohens_f	appendix_removed
0.05	100	0.05343954872453294	0.02170102400523686		cohens_f	appendix_removed
0.1	100	0.10530414910805486	0.02170102400523686		cohens_f	appendix_removed
0.01	140	0.011498690536685396	0.02170102400523686		cohens_f	appendix_removed
0.05	140	0.054869733181486025	0.02170102400523686		cohens_f	appendix_removed
0.1	140	0.10748216120187637	0.02170102400523686		cohens_f	appendix_removed
0.01	180	0.011953120699968789	0.02170102400523686		cohens_f	appendix_removed
0.05	180	0.05630619428525485	0.02170102400523686		cohens_f	appendix_removed
0.1	180	0.10966275585251561	0.02170102400523686		cohens_f	appendix_removed
0.01	220	0.012412899033152236	0.02170102400523686		cohens_f	appendix_removed
0.05	220	0.05774894870311986	0.02170102400523686		cohens_f	appendix_removed
0.1	220	0.11184598747306862	0.02170102400523686		cohens_f	appendix_removed
0.01	260	0.012878037535044906	0.02170102400523686		cohens_f	appendix_removed
0.05	260	0.059197969384377824	0.02170102400523686		cohens_f	appendix_removed
0.1	260	0.11403183104767389	0.02170102400523686		cohens_f	appendix_removed
0.01	300	0.013348551939027398	0.02170102400523686		cohens_f	appendix_removed
0.05	300	0.06065321553365155	0.02170102400523686		cohens_f	appendix_removed
0.1	300	0.11622023596906261	0.02170102400523686		cohens_f	appendix_removed
0.01	340	0.013824461003413502	0.02170102400523686		cohens_f	appendix_removed
0.05	340	0.062114641399417025	0.02170102400523686		cohens_f	appendix_removed
0.1	340	0.11841114174097433	0.02170102400523686		cohens_f	appendix_removed
